,day1,day5,actual_pct_change,ticker,actual_pct_chg_label,yhat_label,yhat_reg,year,month,month_year
0,2020-10-07,2020-10-13,0.070,AAPL,4+% Up,4+% Up,0.053,2020,10,2020-10
1,2020-10-08,2020-10-14,0.053,AAPL,4+% Up,4+% Up,0.057,2020,10,2020-10
2,2020-10-09,2020-10-15,0.050,AAPL,4+% Up,4+% Up,0.048,2020,10,2020-10
18,2020-10-13,2020-10-19,-0.068,AAPL,4+% Down,4+% Up,0.050,2020,10,2020-10
71,2020-10-14,2020-10-20,-0.030,AAPL,1-4% Down,4+% Up,0.045,2020,10,2020-10
107,2020-10-15,2020-10-21,-0.036,AAPL,1-4% Down,4+% Up,0.052,2020,10,2020-10
173,2020-10-16,2020-10-22,-0.041,AAPL,4+% Down,1-4% Up,0.052,2020,10,2020-10
174,2020-09-25,2020-10-01,0.079,AAPL,4+% Up,4+% Up,0.048,2020,9,2020-09
175,2020-09-29,2020-10-05,0.013,AAPL,1-4% Up,4+% Up,0.041,2020,9,2020-09
176,2020-09-30,2020-10-06,-0.008,AAPL,+/-1%,4+% Up,0.042,2020,9,2020-09
177,2020-10-01,2020-10-07,-0.006,AAPL,+/-1%,4+% Up,0.039,2020,10,2020-10
178,2020-10-02,2020-10-08,-0.016,AAPL,1-4% Down,4+% Up,0.046,2020,10,2020-10
179,2020-10-06,2020-10-12,0.068,AAPL,4+% Up,4+% Up,0.051,2020,10,2020-10
213,2020-10-20,2020-10-26,-0.008,AAPL,+/-1%,1-4% Up,0.031,2020,10,2020-10
256,2020-10-21,2020-10-27,-0.008,AAPL,+/-1%,4+% Up,0.023,2020,10,2020-10
362,2020-10-22,2020-10-28,-0.049,AAPL,4+% Down,4+% Down,0.022,2020,10,2020-10
571,2020-10-23,2020-10-29,-0.004,AAPL,+/-1%,4+% Down,0.007,2020,10,2020-10
997,2020-10-27,2020-11-02,-0.055,AAPL,4+% Down,4+% Down,-0.024,2020,10,2020-10
1106,2020-10-28,2020-11-03,-0.053,AAPL,4+% Down,4+% Down,-0.021,2020,10,2020-10
1316,2020-10-29,2020-11-04,0.034,AAPL,1-4% Up,1-4% Down,-0.019,2020,10,2020-10
1577,2020-10-30,2020-11-05,0.032,AAPL,1-4% Up,1-4% Down,-0.016,2020,10,2020-10
2103,2020-11-03,2020-11-09,0.069,AAPL,4+% Up,4+% Up,-0.009,2020,11,2020-11
2236,2020-11-04,2020-11-10,0.050,AAPL,4+% Up,+/-1%,-0.013,2020,11,2020-11
2329,2020-11-05,2020-11-11,0.039,AAPL,1-4% Up,1-4% Up,-0.006,2020,11,2020-11
2618,2020-11-06,2020-11-12,0.002,AAPL,+/-1%,+/-1%,-0.020,2020,11,2020-11
2919,2020-11-09,2020-11-13,0.005,AAPL,+/-1%,1-4% Down,-0.018,2020,11,2020-11
3232,2020-11-10,2020-11-16,0.034,AAPL,1-4% Up,1-4% Down,-0.019,2020,11,2020-11
3422,2020-11-11,2020-11-17,0.029,AAPL,1-4% Up,4+% Up,-0.013,2020,11,2020-11
3759,2020-11-12,2020-11-18,-0.012,AAPL,1-4% Down,1-4% Down,-0.011,2020,11,2020-11
3905,2020-11-13,2020-11-19,-0.005,AAPL,+/-1%,1-4% Down,-0.011,2020,11,2020-11
4026,2020-11-16,2020-11-20,-0.016,AAPL,1-4% Down,1-4% Down,-0.013,2020,11,2020-11
4151,2020-11-17,2020-11-23,-0.054,AAPL,4+% Down,4+% Down,-0.014,2020,11,2020-11
4344,2020-11-18,2020-11-24,-0.035,AAPL,1-4% Down,4+% Down,-0.023,2020,11,2020-11
4477,2020-11-19,2020-11-25,-0.017,AAPL,1-4% Down,1-4% Down,-0.028,2020,11,2020-11
