ticker,yhat_proba,yhat_label,sector,start,end,last_close,last_close_amount,updated_end,zl_0.05,zl_0.1,zl_0.2,zl_0.3,zl_0.4,zl_0.5,zlp_0.05,zlp_0.1,zlp_0.2,zlp_0.3,zlp_0.4,zlp_0.5,precision,recall,soft_precision
AAPL,0.431,4+% Down,technology,2020-11-30,2020-12-04,2020-11-27,116.590,2020-12-04,-0.07,-0.06,-0.05,-0.04,-0.030,-0.020,-0.04,-0.03,-0.02,-0.020,-0.010,-0.01,,,
ABUS,0.336,4+% Down,healthcare,2020-11-30,2020-12-04,2020-11-27,4.340,2020-12-04,,-0.18,-0.14,-0.12,-0.100,-0.080,-0.1,-0.09,-0.07,-0.060,-0.050,-0.04,1.000,0.500,1.000
ACRX,0.440,4+% Down,healthcare,2020-11-30,2020-12-04,2020-11-27,1.520,2020-12-04,-0.2,-0.17,-0.14,-0.11,-0.090,-0.070,,,-0.06,-0.050,-0.040,,1.000,1.000,1.000
ADAP,0.311,4+% Up,healthcare,2020-11-30,2020-12-04,2020-11-27,4.910,2020-12-04,,-0.18,-0.14,-0.12,-0.100,-0.080,,,-0.08,-0.070,-0.050,-0.04,,,
AMRS,0.421,4+% Down,basic-materials,2020-11-30,2020-12-04,2020-11-27,2.920,2020-12-04,-0.22,-0.19,-0.16,-0.13,-0.110,-0.090,-0.12,-0.1,,-0.060,-0.050,-0.04,1.000,0.800,1.000
AON,0.301,1-4% Down,financial-services,2020-11-30,2020-12-04,2020-11-27,206.580,2020-12-04,,-0.05,-0.04,-0.03,-0.020,-0.020,-0.03,-0.02,-0.02,-0.010,-0.010,-0.01,,,
APH,0.555,1-4% Up,technology,2020-11-30,2020-12-04,2020-11-27,131.950,2020-12-04,-0.06,-0.05,,-0.03,-0.030,-0.020,,-0.03,-0.02,-0.020,-0.010,-0.01,0.670,1.000,1.000
ARCC,0.436,4+% Down,financial-services,2020-11-30,2020-12-04,2020-11-27,16.830,2020-12-04,,-0.07,,-0.04,-0.030,-0.020,,-0.03,,-0.020,-0.010,-0.01,1.000,0.670,1.000
ATEC,0.701,4+% Up,healthcare,2020-11-30,2020-12-04,2020-11-27,10.600,2020-12-04,-0.21,-0.18,-0.14,-0.12,-0.100,-0.080,,-0.08,,-0.060,-0.050,-0.04,0.710,1.000,1.000
CATB,0.471,1-4% Down,healthcare,2020-11-30,2020-12-04,2020-11-27,1.590,2020-12-04,-0.23,-0.2,-0.16,-0.13,-0.110,-0.080,-0.1,-0.09,-0.07,-0.060,-0.050,-0.04,,0.000,
CLVS,0.737,4+% Up,healthcare,2020-11-30,2020-12-04,2020-11-27,4.760,2020-12-04,-0.21,-0.18,-0.15,-0.12,-0.100,-0.080,,-0.08,,-0.050,-0.040,-0.03,0.500,0.500,1.000
EVFM,0.640,4+% Up,healthcare,2020-11-30,2020-12-04,2020-11-27,2.290,2020-12-04,,,-0.18,,-0.120,-0.100,,-0.11,-0.09,-0.070,-0.060,-0.05,0.800,1.000,1.000
FCEL,0.631,4+% Down,industrials,2020-11-30,2020-12-04,2020-11-27,9.690,2020-12-04,,-0.22,-0.17,-0.14,-0.120,-0.090,-0.11,,,-0.060,-0.050,-0.04,1.000,0.710,1.000
IDEX,0.490,4+% Down,technology,2020-11-30,2020-12-04,2020-11-27,2.770,2020-12-04,-0.24,-0.2,-0.16,-0.14,-0.110,-0.090,,,-0.08,-0.060,-0.050,-0.04,1.000,1.000,1.000
